seed,fold,accuracy,auc
42,1,68.75,0.6960072595281307
42,2,65.95744680851064,0.6945488721804511
42,3,65.95744680851064,0.6296992481203008
42,4,68.08510638297872,0.6666666666666666
42,5,68.08510638297872,0.6772030651340996
42,6,68.08510638297872,0.6934865900383141
42,7,63.829787234042556,0.6743295019157088
42,8,68.08510638297872,0.6628352490421456
42,9,72.3404255319149,0.7413793103448276
42,10,63.829787234042556,0.5756704980842912
123,1,66.66666666666666,0.6370235934664248
123,2,57.446808510638306,0.513157894736842
123,3,70.2127659574468,0.7838345864661654
123,4,55.319148936170215,0.6245210727969348
123,5,59.57446808510638,0.5881226053639848
123,6,68.08510638297872,0.6590038314176245
123,7,59.57446808510638,0.5977011494252874
123,8,78.72340425531915,0.7528735632183909
123,9,65.95744680851064,0.6206896551724137
123,10,61.702127659574465,0.6226053639846744
456,1,52.083333333333336,0.4718693284936479
456,2,68.08510638297872,0.7424812030075187
456,3,63.829787234042556,0.7744360902255639
456,4,59.57446808510638,0.5680076628352491
456,5,65.95744680851064,0.7011494252873564
456,6,55.319148936170215,0.5038314176245211
456,7,74.46808510638297,0.6187739463601533
456,8,65.95744680851064,0.6340996168582376
456,9,63.829787234042556,0.6130268199233717
456,10,59.57446808510638,0.7260536398467432
789,1,75.0,0.7468239564428312
789,2,63.829787234042556,0.48308270676691734
789,3,61.702127659574465,0.6165413533834586
789,4,63.829787234042556,0.6513409961685823
789,5,70.2127659574468,0.7394636015325671
789,6,78.72340425531915,0.7471264367816093
789,7,63.829787234042556,0.628352490421456
789,8,65.95744680851064,0.7088122605363985
789,9,61.702127659574465,0.6283524904214559
789,10,57.446808510638306,0.5402298850574713
1011,1,60.416666666666664,0.6061705989110708
1011,2,70.2127659574468,0.6597744360902256
1011,3,51.06382978723404,0.5451127819548873
1011,4,74.46808510638297,0.7260536398467433
1011,5,65.95744680851064,0.5977011494252873
1011,6,61.702127659574465,0.5708812260536399
1011,7,68.08510638297872,0.7365900383141762
1011,8,59.57446808510638,0.5651340996168582
1011,9,70.2127659574468,0.6417624521072797
1011,10,63.829787234042556,0.6590038314176245
